iter	RMSE
0	2.442663828
1	2.430737747
2	2.417672849
3	2.415598901
4	2.403940491
5	2.395588194
6	2.386163089
7	2.378950057
8	2.375108942
9	2.366312305
10	2.359556464
11	2.349760443
12	2.341955021
13	2.334771315
14	2.32757459
15	2.320148471
16	2.314028401
17	2.311707648
18	2.304137996
19	2.297290109
20	2.292623971
21	2.287580497
22	2.276776721
23	2.269487758
24	2.26658229
25	2.260133186
26	2.25178001
27	2.243884465
28	2.236334404
29	2.227917983
30	2.227650411
31	2.224394349
32	2.218047204
33	2.209701952
34	2.201164819
35	2.194088182
36	2.186515065
37	2.182609873
38	2.176423325
39	2.172271228
40	2.164876777
41	2.154516216
42	2.149710562
43	2.144589708
44	2.140430306
45	2.136716345
46	2.132057722
47	2.123725478
48	2.11877344
49	2.115004022
50	2.1060302
51	2.100092913
52	2.094955355
53	2.0902639
54	2.083818592
55	2.080448191
56	2.076633049
57	2.068005768
58	2.061661319
59	2.054684321
60	2.049554965
61	2.042485504
62	2.039799705
63	2.036556424
64	2.032123078
65	2.02877626
66	2.019573683
67	2.014499749
68	2.007930289
69	2.001536301
70	1.994592858
71	1.986634408
72	1.980160239
73	1.977554077
74	1.973685342
75	1.971113849
76	1.964248394
77	1.956147395
78	1.955099406
79	1.948206079
80	1.942045114
81	1.937896326
82	1.9364076
83	1.931805031
84	1.925457833
85	1.925449534
86	1.92140351
87	1.915728459
88	1.909216885
89	1.903070284
90	1.892851931
91	1.889535112
92	1.885835611
93	1.881131595
94	1.878429899
95	1.873472572
96	1.867224187
97	1.865546955
98	1.856189145
99	1.852119888
100	1.850966214
101	1.847327451
102	1.842715237
103	1.840304773
104	1.832985924
105	1.830720642
106	1.827302872
107	1.824400652
108	1.820010498
109	1.813497436
110	1.810777039
111	1.807041251
112	1.803429783
113	1.798766769
114	1.790117611
115	1.783995789
116	1.779836463
117	1.777105883
118	1.772818069
119	1.767043729
120	1.762215746
121	1.76023282
122	1.75552667
123	1.751581626
124	1.746039259
125	1.737753637
126	1.735993252
127	1.734477601
128	1.731237561
129	1.727417445
130	1.725713824
131	1.721679797
132	1.718878272
